INDIC_UR/TIME,Bruxelles / Brussel,Sofia,Praha,København,Berlin,Tallinn,Dublin,Athina,Madrid,Barcelona,Paris,Roma,Riga,Vilnius,Luxembourg (city),Budapest,Rotterdam,Wien,Warszawa,Lisboa,Bucuresti,Ljubljana,Bratislava,Helsinki,Stockholm,London,Zagreb,Istanbul
cinemas: not at all satisfied,"5,0",,,"2,0","1,0",,"4,0","3,0","2,0","2,0","3,0","0,0",,,"3,0",,"2,0","2,0",,"4,0",,,,"0,0","0,0","4,0",,
cinemas: no reply,"17,0",,,"7,0","15,0",,"9,0","8,0","18,0","16,0","6,0","8,0",,,"19,0",,"18,0","21,0",,"21,0",,,,"8,0","13,0","11,0",,
cinemas: satisfied (rather+strong),"71,0",,,"89,0","78,0",,"80,0","84,0","71,0","75,0","85,0","83,0",,,"72,0",,"77,0","69,0",,"70,0",,,,"89,0","85,0","79,0",,
cinemas: unsatisfied (rather+strong),"12,0",,,"4,0","7,0",,"11,0","8,0","11,0","8,0","9,0","9,0",,,"9,0",,"6,0","10,0",,"9,0",,,,"3,0","3,0","10,0",,
Satisfied with cultural facilities (synthetic index 0-100),"90,0",,,"96,0","91,0",,"87,0","77,0","73,0","84,0","95,0","83,0",,,"89,0",,"95,0","94,0",,"71,0",,,,"96,0","97,0","89,0",,
culturalfacilities: very satisfied,"37,0",,,"57,0","48,0",,"41,0","28,0","9,0","17,0","47,0","26,0",,,"37,0",,"43,0","69,0",,"10,0",,,,"52,0","51,0","46,0",,
culturalfacilities: rather satisfied,"45,0",,,"34,0","36,0",,"37,0","47,0","56,0","57,0","44,0","53,0",,,"40,0",,"45,0","19,0",,"50,0",,,,"41,0","43,0","39,0",,
culturalfacilities: rather unsatisfied,"7,0",,,"4,0","7,0",,"5,0","14,0","17,0","12,0","3,0","14,0",,,"8,0",,"2,0","5,0",,"18,0",,,,"4,0","3,0","6,0",,
culturalfacilities: not at all satisfied,"2,0",,,"0,0","1,0",,"7,0","8,0","7,0","3,0","2,0","2,0",,,"2,0",,"3,0","1,0",,"6,0",,,,"0,0","1,0","4,0",,
culturalfacilities: no reply,"10,0",,,"5,0","8,0",,"10,0","3,0","12,0","11,0","5,0","4,0",,,"14,0",,"7,0","6,0",,"15,0",,,,"3,0","3,0","5,0",,
culturalfacilities: satisfied (rather+strong),"81,0",,,"91,0","84,0",,"78,0","75,0","65,0","74,0","90,0","80,0",,,"76,0",,"88,0","89,0",,"61,0",,,,"93,0","93,0","85,0",,
culturalfacilities: unsatisfied (rather+strong),"9,0",,,"4,0","8,0",,"12,0","22,0","24,0","14,0","5,0","16,0",,,"9,0",,"5,0","6,0",,"25,0",,,,"4,0","3,0","10,0",,
Satisfied with public internet access (synthetic index 0-100),"78,0",,,"85,0","79,0",,"86,0","76,0","74,0","75,0","79,0","74,0",,,"69,0",,"87,0","79,0",,"53,0",,,,"85,0","68,0","89,0",,
public-internet: very satisfied,"14,0",,,"21,0","13,0",,"32,0","18,0","4,0","10,0","10,0","6,0",,,"12,0",,"11,0","15,0",,"6,0",,,,"15,0","8,0","27,0",,
public-internet: rather satisfied,"27,0",,,"36,0","31,0",,"29,0","30,0","38,0","31,0","31,0","37,0",,,"19,0",,"27,0","17,0",,"15,0",,,,"28,0","18,0","37,0",,
public-internet: rather unsatisfied,"8,0",,,"9,0","10,0",,"4,0","8,0","12,0","12,0","8,0","14,0",,,"11,0",,"5,0","7,0",,"15,0",,,,"6,0","11,0","6,0",,
public-internet: not at all satisfied,"3,0",,,"1,0","2,0",,"5,0","7,0","2,0","2,0","4,0","2,0",,,"3,0",,"1,0","2,0",,"4,0",,,,"1,0","1,0","2,0",,
public-internet: no reply,"47,0",,,"33,0","44,0",,"30,0","37,0","44,0","45,0","48,0","42,0",,,"56,0",,"56,0","59,0",,"61,0",,,,"50,0","63,0","29,0",,
public-internet: satisfied (rather+strong),"41,0",,,"57,0","45,0",,"60,0","48,0","42,0","41,0","41,0","43,0",,,"31,0",,"38,0","32,0",,"21,0",,,,"42,0","25,0","63,0",,
public-internet: unsatisfied (rather+strong),"12,0",,,"10,0","12,0",,"10,0","15,0","14,0","14,0","11,0","15,0",,,"14,0",,"6,0","9,0",,"19,0",,,,"8,0","12,0","8,0",,
Satisfied with internet access at home (synthetic index 0-100),"84,0",,,"82,0","88,0",,"86,0","81,0","71,0","68,0","87,0","84,0",,,"88,0",,"93,0","92,0",,"82,0",,,,"93,0","85,0","87,0",,
internet access at home: very satisfied,"31,0",,,"44,0","32,0",,"27,0","25,0","4,0","11,0","29,0","12,0",,,"26,0",,"40,0","42,0",,"15,0",,,,"48,0","30,0","41,0",,
internet access at home: rather satisfied,"29,0",,,"23,0","32,0",,"29,0","18,0","36,0","31,0","32,0","43,0",,,"27,0",,"28,0","15,0",,"31,0",,,,"19,0","29,0","26,0",,
internet access at home: rather unsatisfied,"7,0",,,"9,0","7,0",,"5,0","7,0","9,0","16,0","6,0","9,0",,,"4,0",,"3,0","3,0",,"8,0",,,,"3,0","6,0","6,0",,
internet access at home: not at all satisfied,"5,0",,,"5,0","2,0",,"5,0","3,0","7,0","3,0","3,0","2,0",,,"3,0",,"2,0","2,0",,"2,0",,,,"2,0","4,0","5,0",,
internet access at home: no reply,"29,0",,,"19,0","28,0",,"34,0","47,0","43,0","40,0","29,0","34,0",,,"40,0",,"27,0","38,0",,"45,0",,,,"28,0","31,0","23,0",,
internet access at home: satisfied (rather+strong),"60,0",,,"66,0","64,0",,"56,0","43,0","41,0","41,0","62,0","56,0",,,"53,0",,"68,0","57,0",,"45,0",,,,"67,0","59,0","68,0",,
internet access at home: unsatisfied (rather+strong),"11,0",,,"15,0","9,0",,"10,0","10,0","16,0","19,0","9,0","10,0",,,"7,0",,"5,0","5,0",,"10,0",,,,"5,0","10,0","10,0",,
It is easy to find a good job here (synthetic index 0-100),"42,0",,,"45,0","5,0",,"56,0","38,0","17,0","27,0","49,0","16,0",,,"41,0",,"45,0","33,0",,"8,0",,,,"49,0","43,0","54,0",,
easy-to-find-a-job: strongly agree,"5,0",,,"12,0","0,0",,"8,0","12,0","5,0","3,0","7,0","0,0",,,"6,0",,"11,0","6,0",,"3,0",,,,"11,0","15,0","15,0",,
easy-to-find-a-job: somewhat agree,"32,0",,,"29,0","5,0",,"39,0","26,0","10,0","21,0","37,0","15,0",,,"27,0",,"23,0","24,0",,"4,0",,,,"31,0","21,0","33,0",,
easy-to-find-a-job: somewhat disagree,"29,0",,,"33,0","45,0",,"19,0","25,0","31,0","40,0","32,0","46,0",,,"31,0",,"20,0","42,0",,"32,0",,,,"29,0","20,0","19,0",,
easy-to-find-a-job: strongly disagree,"22,0",,,"18,0","44,0",,"19,0","37,0","47,0","25,0","14,0","33,0",,,"16,0",,"22,0","18,0",,"55,0",,,,"15,0","28,0","22,0",,
easy-to-find-a-job: no reply,"12,0",,,"9,0","6,0",,"16,0","1,0","7,0","11,0","10,0","6,0",,,"21,0",,"24,0","9,0",,"7,0",,,,"15,0","16,0","11,0",,
easy-to-find-a-job: agree (strongly+somewhat),"37,0",,,"41,0","5,0",,"47,0","38,0","16,0","24,0","44,0","15,0",,,"32,0",,"34,0","30,0",,"7,0",,,,"42,0","36,0","48,0",,
easy-to-find-a-job: disagree (strongly+somewhat),"51,0",,,"50,0","89,0",,"37,0","61,0","78,0","65,0","46,0","79,0",,,"47,0",,"42,0","61,0",,"86,0",,,,"43,0","48,0","41,0",,
Foreigner here are well integrated (synthetic index 0-100),"46,0",,,"30,0","36,0",,"40,0","46,0","28,0","39,0","47,0","54,0",,,"67,0",,"31,0","41,0",,"40,0",,,,"50,0","10,0","60,0",,
integration of foreigners: strongly agree,"7,0",,,"2,0","6,0",,"10,0","15,0","8,0","9,0","5,0","5,0",,,"21,0",,"3,0","6,0",,"8,0",,,,"7,0","4,0","16,0",,
integration of foreigners: somewhat agree,"37,0",,,"28,0","28,0",,"26,0","30,0","17,0","24,0","38,0","47,0",,,"43,0",,"26,0","32,0",,"28,0",,,,"36,0","4,0","38,0",,
integration of foreigners: somewhat disagree,"33,0",,,"44,0","45,0",,"30,0","25,0","41,0","34,0","34,0","35,0",,,"24,0",,"28,0","41,0",,"32,0",,,,"30,0","28,0","17,0",,
integration of foreigners: strongly disagree,"19,0",,,"24,0","15,0",,"24,0","29,0","22,0","20,0","14,0","9,0",,,"7,0",,"37,0","14,0",,"21,0",,,,"13,0","51,0","19,0",,
integration of foreigners: no reply,"4,0",,,"3,0","6,0",,"10,0","1,0","12,0","13,0","10,0","4,0",,,"5,0",,"6,0","7,0",,"12,0",,,,"15,0","13,0","10,0",,
integration of foreigners: agree (strongly+somewhat),"44,0",,,"29,0","34,0",,"36,0","45,0","24,0","34,0","43,0","52,0",,,"64,0",,"29,0","38,0",,"35,0",,,,"43,0","9,0","54,0",,
integration of foreigners: disagree (strongly+somewhat),"52,0",,,"68,0","61,0",,"54,0","54,0","64,0","53,0","48,0","44,0",,,"31,0",,"65,0","55,0",,"53,0",,,,"43,0","78,0","36,0",,
Easy to find good housing at reasonable price (synthetic index 0-100),"19,0",,,"1,0","52,0",,"5,0","26,0","11,0","10,0","4,0","12,0",,,"7,0",,"22,0","27,0",,"18,0",,,,"9,0","4,0","9,0",,
easy-to-find-good-housing: strongly agree,"3,0",,,"1,0","11,0",,"1,0","5,0","4,0","3,0","0,0","2,0",,,"1,0",,"3,0","8,0",,"4,0",,,,"2,0","2,0","3,0",,
easy-to-find-good-housing: somewhat agree,"15,0",,,"1,0","38,0",,"4,0","20,0","6,0","6,0","4,0","10,0",,,"6,0",,"17,0","17,0",,"12,0",,,,"7,0","1,0","5,0",,
easy-to-find-good-housing: somewhat disagree,"32,0",,,"18,0","33,0",,"6,0","28,0","19,0","20,0","21,0","27,0",,,"30,0",,"24,0","39,0",,"30,0",,,,"27,0","7,0","18,0",,
