INDIC_UR/TIME,Bruxelles / Brussel,Sofia,Praha,København,Berlin,Tallinn,Dublin,Athina,Madrid,Barcelona,Paris,Roma,Riga,Vilnius,Luxembourg (city),Budapest,Rotterdam,Wien,Warszawa,Lisboa,Bucuresti,Ljubljana,Bratislava,Helsinki,Stockholm,London,Zagreb,Istanbul
Satisfied with public internet access (synthetic index 0-100),"81,6","83,3","79,4","89,7","90,7","91,8","86,9","68,2","80,6","82,8","79,9","72,0","80,6","83,8","66,4","88,7","85,3","80,9","76,7","66,5","82,5","77,2","82,8","82,6","80,7","92,0","69,4","56,9"
public-internet: very satisfied,"19,5","26,3","14,7","21,2","23,8","25,2","39,1","14,9","7,6","9,8","12,8","10,2","14,3","17,7","14,1","10,7","17,1","19,6","14,2","9,7","16,6","16,2","7,2","18,6","12,7","35,9","14,6","18,8"
public-internet: rather satisfied,"21,2","16,8","24,3","41,1","30,9","26,1","33,5","17,1","31,3","34,7","24,8","25,2","23,7","26,5","15,3","18,9","22,3","24,5","22,1","23,5","26,8","34,1","33,1","36,0","26,2","30,9","24,9","19,0"
public-internet: rather unsatisfied,"5,5","5,0","8,0","5,4","4,6","3,0","5,4","5,8","6,4","6,0","7,7","9,7","6,4","7,4","10,4","2,8","5,6","8,6","7,9","9,5","5,9","11,5","8,0","10,9","7,1","3,4","11,3","12,7"
public-internet: not at all satisfied,"3,6","3,6","2,2","1,8","1,0","1,6","5,6","9,1","3,0","3,2","1,8","4,1","2,8","1,2","4,5","1,0","1,2","1,8","3,2","7,2","3,3","3,4","0,4","0,6","2,2","2,4","6,1","16,0"
public-internet: no reply,"50,1","48,3","50,9","30,5","39,7","44,2","16,4","53,2","51,7","46,3","53,1","50,8","52,8","47,2","55,8","66,7","53,9","45,5","52,6","50,1","47,4","34,9","51,3","33,9","51,8","27,5","43,1","33,5"
public-internet: satisfied (rather+strong),"40,7","43,1","39,0","62,3","54,7","51,3","72,7","31,9","38,9","44,5","37,5","35,4","38,1","44,2","29,4","29,6","39,4","44,1","36,4","33,2","43,4","50,3","40,3","54,7","38,9","66,7","39,5","37,8"
public-internet: unsatisfied (rather+strong),"9,2","8,6","10,1","7,2","5,6","4,6","11,0","14,9","9,4","9,2","9,4","13,8","9,2","8,6","14,9","3,8","6,8","10,4","11,1","16,7","9,2","14,9","8,4","11,5","9,3","5,8","17,4","28,7"
Satisfied with internet access at home (synthetic index 0-100),"85,9","91,9","89,8","94,0","91,5","94,3","84,9","81,2","83,7","85,9","91,8","87,8","91,4","90,3","82,2","88,7","97,5","94,2","89,5","85,8","88,9","92,0","88,3","98,6","88,9","92,5","86,1","74,8"
internet access at home: very satisfied,"34,4","47,2","46,5","51,0","42,5","47,1","41,6","26,6","14,4","16,4","36,7","27,8","50,7","33,1","34,1","38,2","51,5","49,3","43,6","23,7","36,4","41,3","30,0","61,2","37,6","47,9","37,8","27,0"
internet access at home: rather satisfied,"24,9","11,6","26,6","34,2","26,0","21,8","23,8","15,3","37,0","38,2","34,0","29,2","15,4","24,3","27,3","19,3","26,2","19,2","24,0","31,4","17,0","31,9","30,2","24,0","35,6","26,0","23,5","19,9"
internet access at home: rather unsatisfied,"5,7","2,4","5,8","4,0","3,8","2,2","5,8","3,4","7,6","6,2","4,3","4,5","3,6","3,8","8,4","6,2","1,4","3,2","5,0","5,2","2,4","4,6","6,4","0,6","6,0","3,0","4,9","11,2"
internet access at home: not at all satisfied,"4,0","2,8","2,6","1,4","2,6","2,0","5,8","6,4","2,4","2,8","2,0","3,4","2,6","2,4","4,9","1,2","0,6","1,0","3,0","4,0","4,3","1,8","1,6","0,6","3,2","3,0","4,9","4,5"
